artist,sales,parent_company,group_type,digital_score,youtube_total_views,annual_awards,music_show_awards,youtube_subscribers,days_to_first_win
Stray Kids,30869732,JYP,boy,1006,9503.6,23,45,22300000,375
TXT,19847565,HYBE,boy,2300,2086.8,23,28,13100000,8
Enhypen,17207425,HYBE,boy,,1844.9,21,18,12900000,155
ATEEZ,11795869,KQ,boy,,,10,25,4700000,239
IVE,11526536,Starship,girl,58398,1915.9,35,74,4640000,7
Aespa,10947622,SM,girl,50903,,44,50,8180000,61
NewJeans,8312348,HYBE,girl,74702,2542.9,32,36,8200000,27
I-dle,7245392,Cube,girl,36739,4201.5,26,70,9480000,20
The Boyz,6876627,IST,boy,1022,,7,31,185000,517
Nmixx,6671634,JYP,girl,4379,,2,20,3780000,400
ITZY,6663913,JYP,girl,10804,2704.0,7,49,9690000,9
LE SSERAFIM,6587266,HYBE,girl,27569,2158.2,13,36,6640000,8
Treasure,6372168,YG,boy,,1815.2,10,3,7880000,565
CRAVITY,2622784,Starship,boy,,,,7,861000,140
WayV,2464044,SM,boy,,,2,5,3620000,1972
StayC,1965997,High Up,girl,10555,,7,21,1830000,306
Kep1er,1754303,WakeOne,girl,,,4,7,2530000,10
P1Harmony,1714345,FNC,boy,,,1,6,1570000,1206
Oneus,1683205,RBW,boy,,,,8,1590000,1043
xikers,1295252,KQ,boy,,,,0,829000,